COUNTY,key,octave
003,A,1
025,A#,1
035,B,1
043,C,1
049,C#,1
063,D,1
075,D#,1
081,E,1
097,F,1
109,F#,1
121,G,1
127,G#,1
135,A,2
145,A#,2
159,B,2
169,C,2
181,C#,2
187,D,2
197,D#,2
740,E,2
009,F,2
011,F#,2
015,G,2
017,G#,2
019,A,3
021,A#,3
023,B,3
027,C,3
029,C#,3
031,D,3
033,D#,3
036,E,3
037,F,3
041,F#,3
045,G,3
047,G#,3
051,A,4
053,A#,4
057,B,4
059,C,4
061,C#,4
065,D,4
067,D#,4
069,E,4
071,F,4
073,F#,4
077,G,4
079,G#,4
083,A,5
085,A#,5
087,B,5
089,C,5
091,C#,5
093,D,5
095,D#,5
099,E,5
101,F,5
103,F#,5
105,G,5
107,G#,5
111,A,6
113,A#,6
115,B,6
117,C,6
119,C#,6
125,D,6
131,D#,6
133,E,6
137,F,6
139,F#,6
141,G,6
143,G#,6
147,A,7
149,A#,7
153,B,7
155,C,7
157,C#,7
161,D,7
163,D#,7
165,E,7
167,F,7
171,F#,7
173,G,7
175,G#,7
177,A,8
179,A#,8
183,B,8
185,C,8
191,C#,8
193,D,8
195,D#,8
199,E,8
550,F,8
650,F#,8
680,G,8
700,G#,8
710,A,9
760,A#,9
800,B,9
810,C,9
001,C#,9
005,D,9
007,D#,9
